Price,Discount,Revenue
11.33,0.0,67.98
100.38,0.0,200.76
10.78,0.0,10.78
424.33,0.0,848.66
599.8,0.0,599.8
124.97,0.0,124.97
796.53,0.0,3982.65
42.23,0.0,84.46
93.1,0.33,124.754
103.25,0.0,206.5
251.32,0.0,502.64
1640.85,0.0,1640.85
26.42,0.0,132.1
236.39,0.0,236.39
20.44,0.0,20.44
589.02,0.0,1178.04
482.6,0.0,482.6
31.97,0.16,26.8548
55.05,0.17,45.6915
248.69,0.0,1740.83
467.49,0.0,1402.47
31.95,0.0,31.95
42.95,0.08,39.514
285.92,0.25,643.32
101.09,0.0,303.27
1629.35,0.0,8146.75
8.24,0.13,28.6752
267.53,0.0,267.53
98.38,0.15,250.869
120.79,0.0,483.16
79.69,0.0,159.38
108.88,0.0,108.88
16.88,0.05,80.18
246.02,0.14,423.1544
54.55,0.0,163.65
506.45,0.0,1012.9
390.63,0.0,1171.89
54.58,0.34,36.0228
41.35,0.0,41.35
822.74,0.0,4936.44
29.93,0.0,29.93
783.25,0.0,783.25
666.21,0.0,1998.63
1271.21,0.0,5084.84
16.78,0.0,67.12
49.98,0.0,349.86
33.58,0.0,33.58
1355.07,0.0,5420.28
22.43,0.0,22.43
26.43,0.08,194.5248
1781.24,0.0,3562.48
551.57,0.0,551.57
463.28,0.0,1389.84
202.0,0.0,606.0
277.36,0.0,832.08
470.76,0.13,409.5612
250.54,0.0,250.54
456.52,0.0,913.04
471.92,0.0,471.92
1996.92,0.13,1737.3204
578.47,0.0,1735.41
215.25,0.0,430.5
27.71,0.0,193.97
540.73,0.0,540.73
428.16,0.0,856.32
53.71,0.0,107.42
1191.7,0.0,1191.7
43.43,0.0,43.43
36.59,0.0,73.18
767.3,0.0,2301.9
16.26,0.27,35.6094
52.32,0.28,37.6704
203.72,0.0,1426.04
270.43,0.0,540.86
1619.57,0.0,4858.71
70.29,0.0,140.58
19.77,0.0,59.31
17.47,0.0,34.94
1378.18,0.0,1378.18
119.44,0.0,119.44
403.0,0.0,1209.0
1675.62,0.0,5026.86
1383.54,0.0,8301.24
372.81,0.0,745.62
348.47,0.0,696.94
622.03,0.28,895.7232
139.3,0.0,139.3
1095.39,0.0,3286.17
54.52,0.0,218.08
168.52,0.0,168.52
198.39,0.16,166.6476
379.22,0.0,1137.66
1744.74,0.0,1744.74
131.18,0.0,262.36
542.69,0.0,5426.9
223.44,0.0,1564.08
334.55,0.0,334.55
56.46,0.0,56.46
260.39,0.0,260.39
223.11,0.0,446.22
145.52,0.31,100.4088
228.08,0.0,456.16
397.06,0.0,794.12
29.36,0.0,88.08
23.74,0.0,23.74
58.16,0.44,97.7088
382.18,0.0,764.36
1564.36,0.0,6257.44
350.22,0.0,2101.32
485.54,0.08,446.6968
99.25,0.45,163.7625
333.51,0.0,1000.53
1977.11,0.0,7908.44
387.35,0.18,317.627
280.65,0.0,280.65
60.99,0.0,121.98
92.71,0.0,556.26
225.26,0.0,225.26
562.26,0.0,562.26
187.51,0.15,318.767
53.92,0.0,161.76
39.52,0.18,194.4384
205.49,0.0,410.98
110.56,0.44,61.9136
423.48,0.0,3387.84
17.89,0.0,35.78
48.76,0.0,48.76
60.71,0.0,242.84
129.69,0.0,129.69
558.26,0.0,558.26
137.01,0.25,205.515
81.78,0.0,163.56
27.71,0.0,27.71
755.74,0.0,2267.22
35.38,0.28,178.3152
1453.92,0.0,8723.52
24.93,0.0,24.93
141.92,0.46,76.6368
30.57,0.0,152.85
425.73,0.0,851.46
142.87,0.0,1142.96
60.46,0.0,60.46
362.15,0.14,1245.796
52.08,0.17,43.2264
24.0,0.4,14.4
493.88,0.12,1738.4576
571.53,0.0,1714.59
84.99,0.0,254.97
622.41,0.0,1244.82
1195.79,0.0,1195.79
36.28,0.0,36.28
458.32,0.0,2749.92
54.57,0.17,45.2931
1444.88,0.0,4334.64
134.72,0.0,538.88
559.04,0.0,1118.08
99.94,0.07,92.9442
295.14,0.0,295.14
249.1,0.0,996.4
604.39,0.0,2417.56
53.66,0.0,107.32
34.26,0.0,34.26
65.61,0.0,262.44
1709.74,0.07,3180.1164
39.75,0.0,79.5
325.81,0.0,977.43
108.85,0.0,108.85
40.17,0.0,120.51
146.39,0.0,292.78
29.57,0.0,59.14
662.57,0.0,1325.14
57.57,0.0,57.57
31.36,0.0,31.36
36.3,0.11,226.149
29.46,0.0,29.46
274.3,0.47,145.379
500.36,0.0,500.36
23.53,0.16,19.7652
295.32,0.09,1074.9648
37.82,0.0,113.46
994.16,0.0,1988.32
115.3,0.0,922.4
133.08,0.0,133.08
280.06,0.48,145.6312
53.35,0.0,106.7
59.97,0.0,59.97
653.78,0.15,555.713
653.61,0.0,653.61
51.49,0.07,47.8857
23.7,0.0,94.8
124.5,0.0,498.0
102.21,0.0,511.05
447.08,0.0,447.08
1761.05,0.0,1761.05
1166.91,0.39,1423.6302
446.14,0.0,446.14
98.8,0.0,592.8
616.48,0.0,3082.4
66.85,0.13,58.1595
242.74,0.0,970.96
1817.39,0.0,3634.78
10.67,0.0,21.34
453.24,0.0,4532.4
16.77,0.48,17.4408
16.68,0.0,16.68
1656.6,0.0,4969.8
202.73,0.0,202.73
299.66,0.0,599.32
129.8,0.11,346.566
75.82,0.0,227.46
12.55,0.11,55.8475
234.2,0.0,1171.0
65.37,0.0,130.74
636.28,0.0,636.28
90.77,0.0,90.77
148.41,0.0,148.41
247.79,0.45,136.2845
38.14,0.0,76.28
108.69,0.0,434.76
169.58,0.13,442.6038
118.07,0.09,214.8874
30.7,0.0,61.4
483.05,0.0,966.1
844.71,0.37,532.1673
287.02,0.0,1148.08
156.8,0.0,470.4
461.46,0.0,461.46
643.89,0.0,3219.45
105.56,0.0,633.36
339.6,0.18,278.472
461.76,0.0,461.76
480.14,0.0,480.14
194.58,0.0,389.16
62.66,0.0,125.32
684.39,0.0,684.39
195.23,0.0,195.23
261.39,0.2,209.112
11.75,0.0,35.25
274.26,0.14,235.8636
24.91,0.0,74.73
73.68,0.06,207.7776
319.58,0.0,319.58
732.96,0.0,1465.92
81.09,0.0,162.18
58.6,0.08,53.912
630.42,0.0,630.42
26.57,0.0,26.57
57.66,0.0,230.64
482.26,0.16,405.0984
1264.35,0.0,1264.35
35.15,0.0,70.3
1524.8,0.0,1524.8
291.45,0.0,582.9
661.67,0.0,1985.01
142.63,0.0,855.78
45.03,0.44,50.4336
1036.79,0.0,1036.79
106.55,0.0,319.65
93.3,0.1,503.82
153.53,0.42,89.0474
1278.54,0.0,2557.08
423.57,0.0,1270.71
29.29,0.0,58.58
412.0,0.11,366.68
298.45,0.0,596.9
29.21,0.13,228.7143
57.68,0.0,57.68
208.61,0.0,625.83
128.89,0.0,257.78
27.62,0.0,165.72
112.39,0.0,449.56
19.6,0.0,58.8
526.47,0.0,1052.94
43.65,0.0,43.65
494.99,0.11,1762.1644
186.55,0.29,397.3515
264.78,0.0,264.78
1848.75,0.0,3697.5
93.64,0.49,191.0256
24.64,0.11,21.9296
13.7,0.0,41.1
382.96,0.37,241.2648
1691.77,0.0,6767.08
124.86,0.0,374.58
1364.55,0.0,1364.55
208.53,0.0,625.59
52.56,0.1,94.608
299.69,0.0,599.38
28.59,0.0,85.77
404.47,0.0,404.47
226.08,0.06,212.5152
54.53,0.0,54.53
1178.16,0.16,989.6544
161.45,0.23,248.633
312.08,0.0,1248.32
1791.53,0.0,7166.12
48.1,0.0,144.3
69.08,0.0,69.08
292.26,0.0,1169.04
13.89,0.15,11.8065
373.86,0.0,1121.58
100.95,0.0,605.7
461.02,0.14,792.9544
44.16,0.36,56.5248
317.23,0.13,1103.9604
130.22,0.0,260.44
27.17,0.0,81.51
62.73,0.0,376.38
42.96,0.0,42.96
57.97,0.0,57.97
229.47,0.0,458.94
28.21,0.19,45.7002
99.16,0.49,101.1432
49.13,0.0,98.26
758.9,0.0,4553.4
28.58,0.0,28.58
1040.22,0.0,1040.22
136.81,0.0,410.43
63.92,0.07,118.8912
1743.77,0.0,1743.77
49.33,0.0,49.33
45.16,0.0,90.32
907.04,0.09,1650.8128
1941.36,0.0,9706.8
26.08,0.0,52.16
43.11,0.0,86.22
56.93,0.0,170.79
152.54,0.0,152.54
361.15,0.0,1083.45
419.7,0.28,604.368
189.72,0.0,379.44
73.41,0.0,367.05
1697.1,0.0,3394.2
27.75,0.0,27.75
22.52,0.0,67.56
1565.74,0.0,1565.74
772.29,0.0,2316.87
149.58,0.0,747.9
452.51,0.18,371.0582
1957.79,0.19,1585.8099
257.98,0.0,1547.88
1407.63,0.0,1407.63
228.29,0.0,228.29
52.1,0.17,43.243
187.23,0.0,374.46
442.98,0.1,1594.728
191.05,0.0,382.1
24.83,0.0,148.98
49.87,0.0,49.87
232.16,0.0,464.32
52.67,0.0,316.02
1540.53,0.0,4621.59
386.83,0.0,1547.32
103.2,0.0,309.6
406.98,0.0,1627.92
1684.32,0.15,4295.016
8.45,0.0,8.45
27.48,0.0,54.96
410.9,0.1,369.81
151.06,0.47,160.1236
41.73,0.0,166.92
733.72,0.0,733.72
132.37,0.0,132.37
11.62,0.0,34.86
72.82,0.0,72.82
157.6,0.08,434.976
21.41,0.1,38.538
47.77,0.0,95.54
102.25,0.1,276.075
125.43,0.0,376.29
384.31,0.0,384.31
490.99,0.13,427.1613
31.27,0.0,31.27
55.49,0.16,93.2232
25.3,0.0,25.3
227.77,0.0,455.54
58.18,0.0,232.72
407.9,0.0,815.8
20.15,0.0,20.15
291.19,0.0,291.19
89.14,0.0,356.56
141.24,0.0,847.44
1476.6,0.17,2451.156
47.16,0.0,47.16
194.95,0.0,779.8
37.92,0.0,227.52
189.47,0.0,189.47
71.26,0.13,185.9886
28.55,0.0,199.85
97.16,0.15,82.586
45.71,0.0,137.13
164.72,0.0,164.72
83.45,0.25,62.5875
142.54,0.0,712.7
34.8,0.14,59.856
77.91,0.19,252.4284
97.62,0.09,88.8342
134.44,0.0,134.44
709.09,0.0,3545.45
115.74,0.0,115.74
442.35,0.23,340.6095
269.83,0.0,539.66
51.02,0.19,41.3262
23.14,0.39,14.1154
68.71,0.0,206.13
94.08,0.0,188.16
96.81,0.35,62.9265
116.32,0.0,232.64
44.61,0.0,133.83
43.18,0.0,129.54
28.74,0.0,28.74
12.75,0.0,38.25
246.91,0.0,246.91
39.24,0.16,65.9232
489.79,0.0,2448.95
72.87,0.0,72.87
91.43,0.35,59.4295
51.76,0.0,51.76
785.29,0.0,2355.87
38.62,0.0,38.62
52.79,0.0,211.16
10.45,0.0,31.35
274.25,0.18,899.54
56.27,0.0,56.27
245.2,0.0,245.2
1953.35,0.0,3906.7
176.03,0.0,176.03
8.73,0.0,8.73
607.71,0.0,1215.42
17.16,0.0,34.32
36.87,0.0,147.48
1613.0,0.0,11291.0
1186.93,0.0,1186.93
47.89,0.0,95.78
861.03,0.0,4305.15
64.87,0.0,64.87
171.07,0.0,342.14
12.69,0.0,25.38
30.72,0.08,141.312
485.66,0.39,592.5052
155.95,0.0,311.9
90.28,0.0,541.68
368.16,0.39,224.5776
359.91,0.0,359.91
58.36,0.37,183.834
33.11,0.0,33.11
62.76,0.0,188.28
756.99,0.19,613.1619
42.5,0.11,75.65
896.0,0.0,1792.0
20.78,0.1,18.702
215.33,0.48,111.9716
703.53,0.41,2490.4962
63.38,0.13,330.8436
158.42,0.0,475.26
156.13,0.0,156.13
41.09,0.08,226.8168
102.54,0.09,186.6228
24.53,0.34,16.1898
11.07,0.0,11.07
270.87,0.0,270.87
1257.29,0.0,1257.29
426.27,0.34,844.0146
260.04,0.0,260.04
1864.28,0.0,7457.12
96.92,0.13,84.3204
40.62,0.0,40.62
81.25,0.0,243.75
139.16,0.17,115.5028
74.55,0.0,74.55
254.37,0.21,200.9523
129.55,0.08,119.186
473.29,0.0,473.29
263.39,0.2,1474.984
126.44,0.0,126.44
306.78,0.27,671.8482
206.98,0.0,1241.88
661.46,0.0,661.46
652.37,0.14,561.0382
174.76,0.0,174.76
280.32,0.2,224.256
166.64,0.0,166.64
119.02,0.33,79.7434
245.57,0.0,245.57
41.47,0.0,82.94
1350.39,0.0,2700.78
545.25,0.14,468.915
31.29,0.0,93.87
116.15,0.0,116.15
1872.72,0.09,3408.3504
98.41,0.17,81.6803
142.61,0.0,570.44
80.63,0.0,161.26
17.02,0.27,99.3968
968.09,0.0,2904.27
234.8,0.0,234.8
354.82,0.0,354.82
27.82,0.0,83.46
58.04,0.0,58.04
43.16,0.0,43.16
17.78,0.49,9.0678
224.76,0.06,422.5488
39.81,0.05,75.639
22.82,0.0,22.82
1652.19,0.42,1916.5404
1169.22,0.0,1169.22
24.99,0.0,249.9
375.28,0.0,1501.12
174.55,0.0,174.55
162.79,0.42,94.4182
47.09,0.0,141.27
693.57,0.0,1387.14
285.7,0.0,571.4
83.51,0.12,220.4664
38.25,0.0,38.25
283.32,0.0,566.64
72.88,0.0,145.76
49.22,0.0,295.32
711.21,0.0,711.21
308.52,0.0,1851.12
270.0,0.0,540.0
164.17,0.0,328.34
434.3,0.0,1302.9
47.65,0.0,95.3
448.78,0.0,1346.34
700.07,0.0,1400.14
741.22,0.0,741.22
62.76,0.0,125.52
61.34,0.47,32.5102
479.36,0.0,479.36
782.3,0.16,1314.264
31.38,0.0,31.38
1328.24,0.0,1328.24
37.65,0.0,75.3
706.27,0.0,1412.54
221.48,0.19,179.3988
55.66,0.0,55.66
346.49,0.47,550.9191
53.29,0.29,113.5077
22.34,0.0,201.06
413.71,0.0,413.71
148.89,0.0,148.89
94.48,0.0,566.88
110.06,0.0,220.12
244.17,0.0,244.17
65.03,0.13,56.5761
364.17,0.34,1201.761
91.91,0.06,86.3954
1939.31,0.2,10860.136
27.36,0.07,25.4448
1552.29,0.0,3104.58
161.41,0.0,322.82
235.97,0.09,214.7327
47.6,0.0,47.6
245.56,0.0,245.56
168.96,0.0,337.92
18.7,0.0,130.9
52.89,0.0,52.89
678.05,0.0,678.05
1111.77,0.36,711.5328
429.46,0.0,858.92
945.52,0.15,3214.768
1352.34,0.0,9466.38
491.63,0.0,983.26
34.97,0.36,22.3808
58.93,0.0,58.93
371.21,0.0,742.42
141.39,0.0,282.78
183.99,0.0,183.99
1095.07,0.0,7665.49
92.33,0.0,92.33
1613.37,0.0,4840.11
45.55,0.0,227.75
270.04,0.0,270.04
462.36,0.08,425.3712
126.57,0.46,68.3478
390.82,0.0,2344.92
453.42,0.0,453.42
1014.02,0.0,1014.02
1744.16,0.0,3488.32
498.01,0.11,443.2289
379.58,0.0,379.58
47.02,0.0,94.04
377.84,0.14,974.8272
38.07,0.0,38.07
85.6,0.0,85.6
77.63,0.0,77.63
1475.19,0.0,1475.19
126.93,0.0,380.79
74.64,0.07,208.2456
36.4,0.16,61.152
192.37,0.09,175.0567
221.76,0.0,443.52
100.99,0.0,100.99
101.32,0.0,101.32
355.55,0.0,355.55
164.71,0.0,1152.97
277.67,0.14,238.7962
482.53,0.0,482.53
1014.92,0.0,1014.92
52.33,0.0,156.99
34.86,0.15,29.631
61.83,0.06,290.601
32.57,0.0,32.57
1250.07,0.07,2325.1302
137.54,0.11,244.8212
392.21,0.07,2188.5318
1973.95,0.09,1796.2945
45.45,0.0,90.9
214.53,0.0,429.06
241.6,0.0,241.6
192.28,0.4,230.736
1668.0,0.0,5004.0
51.25,0.0,51.25
58.5,0.0,58.5
767.92,0.0,767.92
32.22,0.0,32.22
104.34,0.2,166.944
1917.97,0.11,1706.9933
12.44,0.16,20.8992
509.58,0.0,1019.16
53.53,0.17,177.7196
73.31,0.0,219.93
112.29,0.0,224.58
575.51,0.0,575.51
613.67,0.0,1227.34
227.16,0.0,681.48
133.5,0.0,400.5
340.04,0.16,856.9008
1104.36,0.0,3313.08
74.54,0.0,74.54
293.53,0.0,293.53
49.06,0.0,147.18
210.73,0.0,210.73
417.7,0.18,685.028
54.79,0.0,54.79
55.9,0.0,55.9
25.99,0.0,129.95
41.69,0.13,36.2703
26.91,0.0,53.82
1382.19,0.0,5528.76
91.2,0.0,91.2
1085.18,0.0,1085.18
1161.28,0.09,1056.7648
674.29,0.17,1119.3214
43.09,0.0,86.18
559.65,0.08,1029.756
36.37,0.0,109.11
124.5,0.0,249.0
163.14,0.0,163.14
704.33,0.0,704.33
34.66,0.0,69.32
1021.35,0.0,1021.35
62.11,0.0,62.11
66.14,0.38,123.0204
71.97,0.18,177.0462
22.78,0.0,68.34
244.59,0.06,459.8292
74.19,0.0,222.57
123.26,0.0,246.52
1764.41,0.0,1764.41
11.43,0.0,22.86
27.73,0.42,112.5838
723.75,0.0,4342.5
673.82,0.0,1347.64
107.72,0.0,107.72
429.24,0.0,1287.72
62.45,0.0,124.9
20.25,0.07,18.8325
85.85,0.0,257.55
56.54,0.47,89.8986
221.95,0.0,221.95
255.49,0.0,255.49
1070.63,0.0,3211.89
719.66,0.0,2158.98
11.1,0.13,38.628
85.31,0.09,77.6321
231.71,0.0,1158.55
11.69,0.0,35.07
17.59,0.45,9.6745
47.79,0.17,39.6657
1580.89,0.0,3161.78
144.82,0.14,124.5452
127.52,0.0,382.56
101.5,0.0,406.0
679.77,0.0,1359.54
123.63,0.0,123.63
1456.06,0.31,2009.3628
261.82,0.0,1047.28
107.16,0.0,107.16
270.08,0.0,270.08
641.41,0.0,1282.82
666.53,0.0,666.53
445.06,0.18,729.8984
96.4,0.1,173.52
650.55,0.0,4553.85
1318.68,0.0,2637.36
87.61,0.0,175.22
16.24,0.16,13.6416
145.57,0.0,145.57
293.57,0.0,293.57
41.45,0.27,30.2585
476.45,0.0,952.9
12.98,0.0,12.98
138.74,0.0,138.74
55.64,0.0,111.28
1822.98,0.0,3645.96
1677.41,0.3,1174.187
550.71,0.0,1101.42
152.67,0.0,610.68
751.55,0.0,2254.65
148.7,0.17,246.842
352.14,0.16,295.7976
85.03,0.06,479.5692
46.92,0.0,46.92
102.44,0.12,270.4416
423.46,0.18,347.2372
52.19,0.0,104.38
171.95,0.07,639.654
100.91,0.0,100.91
680.88,0.0,2042.64
131.82,0.0,131.82
491.7,0.13,427.779
50.78,0.0,50.78
10.09,0.0,40.36
405.87,0.0,811.74
49.69,0.19,80.4978
1036.97,0.17,860.6851
68.65,0.0,68.65
53.85,0.0,161.55
396.63,0.0,1586.52
184.79,0.0,184.79
40.54,0.0,40.54
92.38,0.0,369.52
132.27,0.0,132.27
126.93,0.0,126.93
78.79,0.09,71.6989
119.38,0.39,72.8218
185.55,0.0,371.1
223.75,0.05,212.5625
70.26,0.0,140.52
1119.75,0.0,2239.5
207.83,0.0,415.66
106.34,0.0,106.34
54.58,0.0,272.9
396.35,0.0,792.7
23.85,0.0,95.4
10.53,0.09,57.4938
35.07,0.0,35.07
333.02,0.0,333.02
50.95,0.07,94.767
169.65,0.27,247.689
120.86,0.0,120.86
1533.74,0.16,2576.6832
89.14,0.0,178.28
10.19,0.0,10.19
204.54,0.0,818.16
789.13,0.19,1278.3906
235.41,0.0,235.41
720.08,0.2,1152.128
46.3,0.34,61.116
871.43,0.11,1551.1454
44.67,0.0,44.67
106.69,0.41,62.9471
39.58,0.09,36.0178
43.86,0.0,87.72
114.25,0.17,474.1375
440.3,0.0,880.6
1133.45,0.0,10201.05
694.93,0.0,694.93
423.62,0.16,711.6816
30.45,0.0,121.8
58.38,0.0,175.14
200.26,0.0,400.52
97.62,0.0,97.62
24.63,0.0,147.78
98.4,0.49,50.184
22.61,0.12,39.7936
695.28,0.27,507.5544
48.19,0.11,171.5564
140.02,0.0,980.14
75.72,0.0,75.72
60.53,0.0,181.59
88.59,0.0,88.59
183.89,0.18,301.5796
66.23,0.15,112.591
1149.59,0.0,3448.77
1291.0,0.0,1291.0
109.14,0.15,92.769
437.14,0.13,380.3118
327.17,0.0,654.34
20.61,0.0,41.22
31.13,0.0,217.91
171.47,0.1,462.969
111.55,0.0,223.1
90.8,0.0,454.0
14.8,0.0,14.8
362.09,0.0,724.18
766.19,0.0,1532.38
48.34,0.0,96.68
98.03,0.0,196.06
156.69,0.08,288.3096
1516.01,0.0,1516.01
39.5,0.0,79.0
124.84,0.08,114.8528
145.79,0.0,145.79
244.55,0.0,733.65
490.5,0.27,358.065
11.19,0.0,11.19
15.55,0.0,46.65
484.63,0.0,969.26
